"gene_id","symbol","global","adjP","call"
"ENSG00000000003","TSPAN6",1.36332528079196e-38,2.02210108853215e-37,"Hit"
"ENSG00000000457","SCYL3",3.69490335173908e-17,2.01563609715178e-16,"Hit"
"ENSG00000000460","C1orf112",7.85689148786739e-17,4.2219877193038e-16,"Hit"
"ENSG00000000971","CFH",1.17224846300425e-16,6.26251016977402e-16,"Hit"
"ENSG00000001084","GCLC",1.87006946158984e-84,4.17921237491767e-82,"Hit"
"ENSG00000001167","NFYA",0.00165604199868634,0.00480584689142999,"Hit"
"ENSG00000001461","NIPAL3",4.38758023134073e-53,1.39240225145913e-51,"Hit"
"ENSG00000001497","LAS1L",3.07544855478778e-12,1.37275056841266e-11,"Hit"
"ENSG00000001561","ENPP4",2.06016101811798e-06,7.02949988655754e-06,"Hit"
"ENSG00000001617","SEMA3F",2.25387341528123e-10,9.27712577093157e-10,"Hit"
"ENSG00000001626","CFTR",1.03654444787414e-07,3.7684023303848e-07,"Hit"
"ENSG00000001629","ANKIB1",4.72990368674643e-54,1.59831078329523e-52,"Hit"
"ENSG00000001630","CYP51A1",3.84403844350849e-80,6.4294565010481e-78,"Hit"
"ENSG00000002549","LAP3",9.44575895520518e-56,3.53305926377956e-54,"Hit"
"ENSG00000002745","WNT16",6.10464224629553e-07,2.13726771850952e-06,"Hit"
"ENSG00000002822","MAD1L1",1.35367768312522e-17,7.52974363209203e-17,"Hit"
"ENSG00000002834","LASP1",7.34215997618836e-13,3.36650693804747e-12,"Hit"
"ENSG00000002919","SNX11",1.05251480043226e-05,3.46075403099598e-05,"Hit"
"ENSG00000003096","KLHL13",5.57463667527744e-24,4.10670049147724e-23,"Hit"
"ENSG00000003147","ICA1",1.17981426266205e-24,8.96712789403672e-24,"Hit"
"ENSG00000003249","DBNDD1",1.64220482363065e-06,5.62721235403085e-06,"Hit"
"ENSG00000003393","ALS2",1.02922159843627e-35,1.31845468154211e-34,"Hit"
"ENSG00000003402","CFLAR",5.11655495879851e-11,2.1694780384931e-10,"Hit"
"ENSG00000003436","TFPI",5.98948791977336e-05,0.000189986213905597,"Hit"
