"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051052","regulation of DNA metabolic process","349/7994","499/14868",4.70362685275798e-14,2.80665414304069e-10,2.21763628142137e-10,"KDM1A/UPF1/LIG3/DBF4/MBTD1/WIZ/BRCA1/ERCC1/DDX11/HGF/MRE11/PARP3/JADE2/ERCC8/RFC2/ARID1B/FOXP3/RAD51/POLQ/FAM168A/WAPL/TAF2/TMEM161A/MAP2K4/SMARCD1/TP53BP1/NUCKS1/ING3/MBD3/TFRC/MCM2/SMARCE1/GLI2/TIPIN/MCM6/BAZ2A/MLH1/TOP2B/JADE1/ZCWPW1/THOC1/XRCC5/RIF1/SMARCA2/PTPRC/KCNK2/ZMPSTE24/ATRX/MAP3K4/ATXN7L3/UIMC1/MAPKAPK5/FUS/HNRNPC/TINF2/CDC6/MSH2/SIRT1/ABL1/CDC7/MAPK1/TFIP11/MCM5/PRMT5/YY1/CD40/METTL4/SMCHD1/JADE3/SUPT20H/RGCC/ACD/EYA1/NBN/MCM4/ERCC2/IL27RA/PRKD2/TGFB1/PPP2R1A/TAF6/BCL7B/NSMCE4A/TNKS2/GTPBP4/STN1/SMC3/RECQL5/SMARCD2/KAT2A/TNFAIP1/SUPT6H/NSD2/PPARGC1A/KMT5B/PTGES3/RFC5/TIMELESS/FBXO5/MCM3/RNF8/GMNN/EYA4/BRD8/MSH3/SUB1/RAD50/PDGFRB/ACTR8/BCL6/OGG1/KPNA1/XRN1/KAT2B/WDR48/INO80D/CCDC88A/CCT4/MSH6/MAD2L2/UCHL5/RLF/ID3/TNFSF4/NEK2/ARID1A/RPA2/SUPT7L/SLF2/TCP1/EPC1/APAF1/TENT4B/PDS5A/ZRANB3/RBBP6/SHLD2/PMS2/HNRNPA2B1/CYREN/ATF1/MORF4L2/USP22/USP9X/WRNIP1/H1-3/CDKN1A/DEK/EREG/TTF1/HELB/YEATS4/GFER/CHTF18/SMARCA4/POT1/INO80/PHF10/GNL3L/TAF4/TRIM28/DKC1/NFATC1/NDFIP1/FIGNL1/ANKRD17/TERF2/PCNA/RFC3/SLF1/TEX15/DPF2/MBD2/SPIRE1/LPIN1/FBH1/ORC3/NAT10/CCT7/TAF5L/DHX9/USP37/EPC2/KAT7/ACTL6A/CDK9/KLF4/NIBAN2/DSCC1/MYC/BCAR3/CYP1B1/ACTR2/ZNF365/DNA2/BARD1/FGF2/SLC15A4/ACVRL1/NABP2/CUL4A/IGF1R/PIF1/TICRR/PARN/ESCO1/TP53/CBX8/MBD1/AKT1/NVL/PARP1/CCNA2/NAF1/EGFR/CCT6A/HMBOX1/TERF1/CIZ1/ANKRD1/TAF5/ATM/CHEK1/HMGA2/CCT5/NEK7/TADA1/RAD17/SMARCA5/CEBPG/FLCN/MMS19/FMN2/CCT8/AIFM1/NSMCE2/SMG1/PAXIP1/MIS18A/CCDC117/DFFA/UBQLN4/FGFR4/MRNIP/SENP3/USP1/SMC6/SMARCAD1/S100A11/HELQ/CCT3/PPP4R2/RFC4/PRKCD/GNL3/PBRM1/RNF168/ATRIP/OTUD4/CGAS/SPIDR/ORC5/WRN/STOX1/E2F7/BRD7/CCT2/RNF169/MCM7/TERF2IP/STAT6/GREM1/ENDOG/CDT1/HDGFL2/OTUB1/CTNNB1/ING5/AXIN2/MECP2/UBE2V2/NFRKB/NPAS2/POLH/TADA3/ESCO2/EXOSC10/SLFN11/DCP2/KAT5/TADA2B/TNKS/SMARCC1/NMNAT1/KLHL15/DHX36/ATR/CLCF1/ERCC4/RUVBL1/ATAD5/SGF29/ZBTB38/MAGEF1/TAF7/CTC1/MAPK15/NPM1/FANCB/SETD2/KPNA2/RUVBL2/EP400/HMCES/ALYREF/H1-5/WT1/FAF1/HSF1/PARPBP/KDM4D/SIRT7/USP7/MCRS1/H1-2/SLX4/ARID2/SF3B3/MPHOSPH8/SUPT3H/TRRAP/SRC/BLM/TFDP1/BAZ1A/TOX/SMC5/SMG5/BMPR2/EHMT2/SPIRE2/DPF3/EXOSC6/ERCC6/PARG/PRKDC/PPP4R3B/DACH1/ATXN7",349
"GO:0006260","DNA replication","203/7994","272/14868",6.93892155514724e-13,2.07022724597818e-09,1.63575945502655e-09,"RECQL/UPF1/LIG3/DBF4/NFIX/REV3L/WIZ/BRCA1/DDX11/POLA2/MRE11/RTF2/RFC1/BOD1L1/JADE2/RRM2B/RFC2/RAD51/POLQ/WAPL/POLD1/WDR18/MCM10/MAP2K4/NUCKS1/MCM2/GLI2/TIPIN/MCM6/POLD3/JADE1/THOC1/EXD2/ZMPSTE24/ATRX/ORC1/SUPT16H/CDC45/CDC6/CDC7/POLRMT/MCM5/YY1/CINP/SAMHD1/METTL4/POLI/RBBP8/POLA1/RBBP7/JADE3/NBN/MCM4/CCNE1/GRWD1/LIG1/PPP2R1A/TWNK/GTPBP4/STN1/SMC3/RECQL5/TNFAIP1/ZPR1/RFC5/TIMELESS/MCM9/FBXO5/MCM3/GMNN/RAD50/ACTR8/BCL6/INO80D/CCDC88A/ORC2/ORC4/UCHL5/ID3/RPA2/SET/PDS5A/ZRANB3/POLK/RBBP6/ATF1/WRNIP1/EREG/TTF1/DTD1/MGME1/MCM8/HELB/CHTF18/INO80/DUT/POLN/GINS2/RPA1/ANKRD17/TERF2/PCNA/RFC3/LPIN1/FBH1/ORC3/DHX9/USP37/REV1/KAT7/ACTL6A/CDK9/DSCC1/HMGA1/BCAR3/ZNF365/DNA2/SMARCAL1/BARD1/ACVRL1/BRCA2/PIF1/POLG/TICRR/ESCO1/TP53/DTL/PARP1/ETAA1/CCNA2/MMS22L/EGFR/TERF1/NFIB/CIZ1/SSRP1/CHEK1/RAD17/SMARCA5/RBMS1/TBRG1/EME1/DONSON/CHAF1B/TONSL/RECQL4/LRWD1/RBBP4/NFIA/S100A11/TOPBP1/RFC4/PRIMPOL/ORC5/WRN/E2F7/MCM7/FAM111A/ENDOG/RRM1/CDT1/CHAF1A/TK1/ING5/RFWD3/FEN1/SIN3A/CENPX/NFRKB/POLH/ESCO2/RRM2/SLFN11/NOC3L/LIG4/ATR/RUVBL1/ATAD5/POLE/ZBTB38/RMI1/CTC1/GINS3/RUVBL2/ALYREF/TRAIP/TOP1MT/FAF1/PURA/NAP1L1/MCRS1/FANCM/SLX4/FAM111B/BLM/MCMBP/PRIM1/WDHD1/BAZ1A/TOP1/EHMT2/NT5M/DACH1",203
"GO:0071559","response to transforming growth factor beta","185/7994","249/14868",1.43380168747323e-11,2.46109578614376e-08,1.94459845397721e-08,"CFLAR/CREBBP/ITGA3/FYN/RUNX3/STRAP/FUT8/HSPA5/LTBP1/DKK3/ARID4B/HIPK2/FGFR2/ROCK1/HYAL2/TGFBR3/FERMT2/ITGA8/MEF2C/ITGB5/PXN/LTBP4/GLG1/TGFB2/BAMBI/SIRT1/ABL1/CRKL/TAB1/EP300/PPM1A/BRMS1L/FERMT1/SMAD7/MXRA5/RBBP7/AXIN1/STUB1/INTS9/SFRP1/TGFB1/ITGB8/CAV2/CAV1/TGFBR1/ENG/BMPR1A/ACTA2/ZMIZ1/MTMR4/COL1A1/SMURF2/SNX25/SOX6/SUDS3/GCNT2/ZNF451/DUSP22/LOX/NR3C1/SMAD5/WNT5A/USP9Y/EPB41L5/ACVR1/STK16/HDAC1/KMT2A/ONECUT2/LTBP2/SMAD9/APAF1/GIPC1/PMEPA1/USP9X/SOX9/BMP2/OVOL2/GDF5/ID1/PIN1/TWSG1/SNX6/CDKN1C/LATS1/NFATC1/PPARG/ROCK2/SOX5/COL4A2/MAP3K7/USP15/TGFBRAP1/APPL2/SKIL/SAP130/SDCBP/THBS1/EMILIN1/TET1/FBN2/SINHCAF/ACVRL1/IGF1R/FURIN/TGFB1I1/ZFHX3/PDPK1/ARRB2/TP53/SMAD4/PRDM16/XCL1/CTSK/PARP1/DLX1/IL17RD/OGT/ZEB1/ANKRD1/LATS2/ADAM17/PTPRK/FLCN/CD109/ZFYVE9/RNF111/APPL1/SKI/ZYX/FOXH1/RBBP4/WNT4/DDR2/CLDN1/TGFBR2/SAP30/HPGD/SAP30L/COL1A2/HTRA1/SPRED1/FBN1/SMAD3/CRK/LTBP3/FNTA/COL3A1/ING2/STAT3/ADAM9/LDLRAD4/NPNT/SIN3A/PTK2/ZEB2/LIMS1/ONECUT1/SMAD1/HTRA3/PDGFD/CHST11/PDE3A/WFIKKN2/LEMD3/SMAD2/YES1/EID2/JUN/ZBTB7A/PAK2/CAV3/ZNF703/ZFP36L1/WWOX/BCL9L/PPARA/HDAC2/SRC/TRIM33/VEPH1/SLC2A10/SPRED2/SMURF1/PEG10",185
"GO:0071103","DNA conformation change","79/7994","91/14868",1.64980444856294e-11,2.46109578614376e-08,1.94459845397721e-08,"RECQL/UPF1/DDX11/MNAT1/MRE11/HMGB3/RFC2/RAD51/POLQ/MCM2/MCM6/TOP2B/XRCC5/DDX1/CDC45/ABL1/TOP3B/MCM5/ASCC2/CHD8/NBN/MCM4/ERCC2/SETX/TWNK/RECQL5/RFC5/MCM9/MCM3/ASCC3/SUB1/RAD50/ZRANB3/HNRNPA2B1/WRNIP1/DTD1/MCM8/HELB/CHTF18/MTERF1/POT1/GINS2/TOP2A/DHX30/IGHMBP2/RFC3/FBH1/ANXA1/DHX9/BRIP1/DSCC1/HMGA1/ASCC1/DNA2/PIF1/GTF2H2/G3BP1/HHEX/SUPV3L1/RECQL4/ERCC3/HELQ/RFC4/WRN/MCM7/NAV2/DHX36/RUVBL1/TOP3A/GINS3/RUVBL2/TOP1MT/PURA/FANCM/XRCC6/RAD54B/BLM/TOP1/DDX3X",79
"GO:0018209","peptidyl-serine modification","196/7994","268/14868",3.99092882905429e-11,4.14905593616189e-08,3.27831521404022e-08,"PKD1/TENM1/MLXIPL/HGF/CD44/PRKCH/VRK2/MAPK9/FNIP2/ATP2B4/WNK1/HIPK2/PKN2/PRKCZ/ROCK1/PDK3/MAST4/CSNK2A2/NCK2/RPS6KA2/RPS6KA6/TFRC/MARK2/MAP3K13/MARK3/ARAF/GSK3B/ULK2/MAST2/AURKA/MAPKAPK5/MAP3K20/CLSPN/IL11/SRPK1/CDC7/MKNK2/MAPK1/PPM1F/GALNT16/VRK1/RPS6KA5/STK4/RASSF2/CSNK2A1/SMAD7/AXIN1/SGK3/RIPK2/IKBKB/AKT2/PRKD2/TGFB1/CAV1/TGFBR1/MAPK8/DKK1/RPS6KB1/HIPK3/CAPRIN2/CREBL2/MAPK14/STK38/TTK/PDE4D/CSNK1A1/PDCD10/WNT5A/MAPKAPK3/EIF4G1/PIKFYVE/MARK1/PARK7/DOCK7/MAD2L2/AKT3/RPS6KA1/NEK6/MAPKAP1/MASTL/TRIM6/PIK3CA/PKN1/MAP2K2/DYRK2/AKAP9/LIF/TTBK2/LATS1/RAF1/PRKAA1/INPP5K/CSNK1G2/ROCK2/POGLUT2/SRPK2/CAB39/PWP1/RIPK1/BCAR3/MAP3K12/PDPK1/GALNT1/CSNK1D/RPTOR/APP/AKT1/PRKACB/DYRK3/HAX1/GALNT2/GALNT13/DGKQ/CAMK2D/PLK2/EGFR/TLK2/TAF1/NTMT1/TNKS1BP1/PAK1/ATM/LATS2/CSNK1G3/NEK7/UHMK1/CAMK4/GPD1L/STK32B/CNKSR3/ANGPT1/PRKCA/MAPK13/BAG4/SMG1/DYRK1A/BRAF/NCK1/PINK1/DMTN/MORC3/PKN3/BRSK1/RPS6KA4/MAPKAPK2/PAQR3/HIPK1/TGFBR2/PRKCI/PRKCD/RICTOR/LMTK2/CDK5/NSD1/STOX1/STK32C/PRKCB/PLK1/MGAT5B/PBK/BDKRB2/CSNK1G1/STK32A/PRKCE/BCL2/PTEN/EIF2AK3/GRK2/TNKS/NDNF/ATR/ULK1/RPS6KA3/POGLUT3/ERN1/PAK2/CAMK1D/TBK1/PRKX/PRKD1/SRPK3/SMYD3/LRRK2/TLK1/STK39/MTOR/INPP5F/TOP1/DMD/STK38L/CHUK/MTCP1/IRGM/MIF/PRKDC/IKBKE",196
"GO:0071560","cellular response to transforming growth factor beta stimulus","180/7994","243/14868",4.17200194686967e-11,4.14905593616189e-08,3.27831521404022e-08,"CFLAR/CREBBP/ITGA3/FYN/STRAP/FUT8/HSPA5/LTBP1/DKK3/ARID4B/HIPK2/FGFR2/HYAL2/TGFBR3/FERMT2/ITGA8/MEF2C/ITGB5/PXN/LTBP4/GLG1/TGFB2/BAMBI/SIRT1/ABL1/CRKL/TAB1/EP300/PPM1A/BRMS1L/FERMT1/SMAD7/RBBP7/AXIN1/STUB1/INTS9/SFRP1/TGFB1/ITGB8/CAV2/CAV1/TGFBR1/ENG/BMPR1A/ACTA2/ZMIZ1/MTMR4/COL1A1/SMURF2/SNX25/SOX6/SUDS3/GCNT2/ZNF451/DUSP22/LOX/NR3C1/SMAD5/WNT5A/USP9Y/EPB41L5/ACVR1/STK16/HDAC1/KMT2A/ONECUT2/LTBP2/SMAD9/APAF1/GIPC1/PMEPA1/USP9X/SOX9/BMP2/OVOL2/GDF5/ID1/PIN1/TWSG1/SNX6/CDKN1C/LATS1/NFATC1/PPARG/SOX5/COL4A2/MAP3K7/USP15/TGFBRAP1/APPL2/SKIL/SAP130/SDCBP/THBS1/EMILIN1/TET1/FBN2/SINHCAF/ACVRL1/IGF1R/FURIN/TGFB1I1/PDPK1/ARRB2/TP53/SMAD4/PRDM16/XCL1/CTSK/PARP1/DLX1/IL17RD/OGT/ZEB1/ANKRD1/LATS2/ADAM17/PTPRK/FLCN/CD109/ZFYVE9/RNF111/APPL1/SKI/ZYX/FOXH1/RBBP4/WNT4/DDR2/CLDN1/TGFBR2/SAP30/HPGD/SAP30L/COL1A2/HTRA1/SPRED1/FBN1/SMAD3/CRK/LTBP3/FNTA/COL3A1/ING2/STAT3/ADAM9/LDLRAD4/NPNT/SIN3A/PTK2/ZEB2/LIMS1/ONECUT1/SMAD1/HTRA3/PDGFD/CHST11/PDE3A/WFIKKN2/LEMD3/SMAD2/YES1/EID2/JUN/ZBTB7A/PAK2/CAV3/ZNF703/ZFP36L1/WWOX/BCL9L/PPARA/HDAC2/SRC/TRIM33/VEPH1/SLC2A10/SPRED2/SMURF1/PEG10",180
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","302/7994","439/14868",5.36212798485038e-11,4.57083109794318e-08,3.61157462317968e-08,"GCLC/ANKIB1/CDC27/RHBDD2/PSMB1/HFE/RNF216/PSMC4/NUB1/RNF14/WWTR1/RNF10/UBR2/PIAS1/RNF19A/CUL3/PSMA4/HSPA5/ERCC8/NEDD4L/MAPK9/ANAPC4/CUL1/APPBP2/RNF4/RNF126/SEL1L/TRIB2/CHFR/FBXW11/KLHL20/TRAF4/DNAJC10/UBE2A/ARAF/UBE2K/PPP2R5C/ITCH/KEAP1/PSEN1/PCNP/GSK3B/XPO1/KLHL42/AURKA/EDEM2/NSFL1C/ANAPC5/MAEA/HECTD1/RFFL/CDC23/WAC/SIRT1/PSMD8/FBXL19/KLHL22/FBXO7/ASCC2/FOXRED2/DESI1/TRIM9/PSMC6/DCAF11/TRPC4AP/GID8/TRIB3/USP14/SMAD7/PSMD10/TBL1X/N4BP1/PSMD7/AXIN1/FBXO31/STUB1/BFAR/TRIP4/UBXN8/PPP2CB/SGTA/FZR1/CAV1/DVL1/ERLIN1/CUL2/FBXL20/PSMD3/PEX12/NAGLU/SMURF2/TNFAIP1/UBE2D3/TRIM2/FBXW7/DTX4/BIRC2/UBE4A/FBXO3/AMBRA1/USP5/MAN1A1/FBXO9/FBXL4/ASCC3/TRIM38/FAF2/CSNK1A1/UBE3A/ARMC8/PSMD14/APC2/NFE2L2/PARK7/EDEM3/RNF19B/FBXO6/UCHL5/CDC20/MAN1C1/KIF14/UBE3D/FBXL5/RAD23B/CLU/TRIM25/SPOP/WWP1/GIPC1/USP9X/KLHDC3/PSMF1/RBCK1/CANX/FBXL12/DNAJB9/KLHDC10/HERC2/ANAPC13/PHF20L1/CDC16/ADRM1/UBE4B/SH3BGRL/UBE2G1/HSPBP1/AGAP3/EDEM1/CLOCK/APC/UBQLN1/OS9/MDM2/DNAJB2/ECPAS/PSMB7/PLAA/RNF144B/FAM8A1/ARRB1/BBS7/RNF185/PRICKLE1/CUL4A/GID4/ARRB2/CSNK1D/FEM1A/AKT1/COP1/DTL/UBXN4/SPOPL/UBR3/RNF175/MARCHF6/SKP2/FBXL17/FEM1C/FBXO38/RMND5B/RNF217/TLK2/TAF1/OGT/ERLIN2/EIF3H/RNF144A/ANAPC1/CLGN/FBXL2/RMND5A/TRIP12/SH3RF1/FBXL18/ANKRD9/PEX10/CCAR2/FBXW5/PSMD4/UBR1/AMFR/ZER1/UBQLN4/PSMC2/FBXO27/SPSB3/CCNF/UBXN1/SYVN1/ZYG11B/WDR26/STT3B/RYBP/RCHY1/UBXN7/CDC20B/RHOBTB3/CAMLG/TMEM67/VCP/FBXO33/KLHDC2/NEMF/KBTBD6/PSMC3/BTRC/ARIH1/CUL5/HSP90B1/PLK1/MAP1A/FBXO22/ZNF598/KCTD5/DDB1/CTNNB1/PBK/RNF187/TMUB2/AXIN2/FEM1B/USP38/RNF34/MTM1/SPSB1/USP19/KAT5/SH3RF3/COMMD1/TRIB1/SMARCC1/PSMD1/PLK3/UBXN2A/KLHL15/FBXO45/GLMN/FBXW8/SPSB4/PSMD2/MAN1B1/ARIH2/TBL1XR1/ZFAND2A/CALR/RAD23A/SHARPIN/SOCS4/ZNRF2/KCTD2/SIAH2/NPLOC4/FBXL7/UBE2G2/FAF1/PSMD13/BCAP31/ZNRF1/UBE2H/USP7/NHLRC3/LRRK2/FHIT/ANAPC7/PCBP2/PSMD12/PELI1/TOPORS/MAN1A2/SVIP/STYX/WWP2/SMURF1/UBE2J1/LTN1/PJA2/BAG6/TRIM71/ZSWIM8/UBXN2B/FBXO17",302
"GO:0018105","peptidyl-serine phosphorylation","187/7994","255/14868",7.59023750197752e-11,5.66136839678748e-08,4.4732465488628e-08,"PKD1/TENM1/MLXIPL/HGF/CD44/PRKCH/VRK2/MAPK9/FNIP2/ATP2B4/WNK1/HIPK2/PKN2/PRKCZ/ROCK1/PDK3/MAST4/CSNK2A2/NCK2/RPS6KA2/RPS6KA6/TFRC/MARK2/MAP3K13/MARK3/ARAF/GSK3B/ULK2/MAST2/AURKA/MAPKAPK5/MAP3K20/CLSPN/IL11/SRPK1/CDC7/MKNK2/MAPK1/PPM1F/VRK1/RPS6KA5/STK4/RASSF2/CSNK2A1/SMAD7/AXIN1/SGK3/RIPK2/IKBKB/AKT2/PRKD2/TGFB1/CAV1/TGFBR1/MAPK8/DKK1/RPS6KB1/HIPK3/CAPRIN2/CREBL2/MAPK14/STK38/TTK/PDE4D/CSNK1A1/PDCD10/WNT5A/MAPKAPK3/EIF4G1/PIKFYVE/MARK1/PARK7/DOCK7/MAD2L2/AKT3/RPS6KA1/NEK6/MAPKAP1/MASTL/TRIM6/PIK3CA/PKN1/MAP2K2/DYRK2/AKAP9/LIF/TTBK2/LATS1/RAF1/PRKAA1/INPP5K/CSNK1G2/ROCK2/SRPK2/CAB39/PWP1/RIPK1/BCAR3/MAP3K12/PDPK1/CSNK1D/RPTOR/APP/AKT1/PRKACB/DYRK3/HAX1/DGKQ/CAMK2D/PLK2/EGFR/TLK2/TAF1/TNKS1BP1/PAK1/ATM/LATS2/CSNK1G3/NEK7/UHMK1/CAMK4/GPD1L/STK32B/CNKSR3/ANGPT1/PRKCA/MAPK13/BAG4/SMG1/DYRK1A/BRAF/NCK1/PINK1/DMTN/MORC3/PKN3/BRSK1/RPS6KA4/MAPKAPK2/PAQR3/HIPK1/TGFBR2/PRKCI/PRKCD/RICTOR/LMTK2/CDK5/NSD1/STOX1/STK32C/PRKCB/PLK1/PBK/BDKRB2/CSNK1G1/STK32A/PRKCE/BCL2/PTEN/EIF2AK3/GRK2/TNKS/ATR/ULK1/RPS6KA3/ERN1/PAK2/CAMK1D/TBK1/PRKX/PRKD1/SRPK3/SMYD3/LRRK2/TLK1/STK39/MTOR/INPP5F/TOP1/DMD/STK38L/CHUK/MTCP1/IRGM/MIF/PRKDC/IKBKE",187
"GO:0016055","Wnt signaling pathway","290/7994","422/14868",1.55688994920705e-10,1.03221803632428e-07,8.15591822514431e-08,"WNT16/DVL2/ITGA3/TMEM132A/PKD1/FUZ/MKS1/RNF14/WWTR1/SNAI2/ZRANB1/ADGRA2/DEPDC1B/CUL3/DKK3/CDK14/WNK1/PTPRU/TLE2/ASPM/FGFR2/RHOA/OTUD5/VPS35/LRP6/CSNK2A2/MARK2/FBXW11/NLE1/FERMT2/CELSR1/GPC4/JADE1/PSEN1/TCF7/GSK3B/CYLD/WNT11/LRRFIP2/BAMBI/ABL1/DAAM1/PPM1A/GSKIP/CHD8/NFATC4/STK4/ADNP/GID8/CSNK2A1/FERMT1/TBL1X/XIAP/AXIN1/TSC2/SALL1/FZD3/SFRP1/STK3/CCN4/UBR5/CCNE1/TGFB1/PPP2R1A/HBP1/CAV1/GRB10/GLI3/BCL7B/SPIN1/TLE4/KANK1/DVL1/LZTS2/TNKS2/DKK1/CCNY/COL1A1/SMURF2/NFKB1/CPE/CCND1/CAPRIN2/WNT5B/MAPK14/MDFI/PTK7/TBX18/SEMA5A/CSNK1A1/ARL6/AMOTL2/KPNA1/WNT5A/APC2/IGFBP2/USP34/STRN/SDC1/BCL9/MARK1/HDAC1/MAD2L2/WLS/NID1/KLHL12/MESD/TNFAIP3/RNF146/PKD2/INVS/VPS4B/EGR1/TMEM131L/RECK/BICC1/LRP1/TTC21B/SOX4/SOX9/BMP2/FRMD8/PIN1/MACF1/SMARCA4/TRPM4/LATS1/NPHP4/PRKAA1/CSNK1G2/MBD2/WNT2B/CDC73/LRP4/RNF138/UBAC2/APC/MDFIC/ANKRD6/SCYL2/EDNRB/KLF4/DAB2IP/TLR2/SULF1/YAP1/RTF1/PPM1B/USP8/FGF2/LEF1/PRICKLE1/LGR5/LMBR1L/TLE3/TGFB1I1/NKD1/CSNK1D/IGFBP4/APP/CELSR2/WNT9A/SOX13/ATP6V1C2/VGLL4/RAB5A/RBMS3/LIMD1/G3BP1/DCDC2/DAAM2/TPBG/EGFR/IGFBP1/GPC3/NOTCH1/TCF7L2/LATS2/DIXDC1/FOXO1/CSNK1G3/EDNRA/HHEX/NR4A2/OTULIN/LRRK1/TNIK/APCDD1/TMEM237/FZD7/GNAQ/TIAM1/FZD1/C12orf43/SKI/GRHL3/CCAR2/AMFR/LRP5/PLPP3/PRKAA2/LZIC/WNT4/DISC1/CCNYL1/FZD5/PYGO2/PRICKLE2/RYK/KLF15/SENP2/FZD6/TMEM67/WNK2/VCP/DACT1/NDRG2/FRAT1/AMOTL1/BRD7/BTRC/ILK/LEO1/GREM1/SMAD3/GPRC5B/DAPK3/NXN/DDB1/CTNNB1/RBPJ/CMAHP/AXIN2/CSNK1G1/ZEB2/USP47/CDH2/PYGO1/MCC/MLLT3/PTEN/PPP1CA/RARG/VANGL1/TNKS/RNF213/FZD4/RUVBL1/FOXL1/FZD8/HIC1/ZBTB33/TBL1XR1/GPC5/SHISA2/FRAT2/SIAH2/EXT1/ATP6AP2/TSKU/RUVBL2/ZNRF3/KREMEN1/ZNF703/MED12/AMER1/NOTUM/WWOX/BCL9L/TRABD2A/MITF/LYPD6/RNF220/TMEM198/FZD9/LRRK2/TLE1/SRC/DACT3/GRK6/LDB1/CTR9/SMURF1/APCDD1L/ALPK2/GRK5/LGR4/TMEM170B/DDX3X/JRK",290
"GO:0198738","cell-cell signaling by wnt","291/7994","424/14868",1.80360862345091e-10,1.07621326561316e-07,8.50354002572278e-08,"WNT16/DVL2/ITGA3/TMEM132A/PKD1/FUZ/MKS1/RNF14/WWTR1/SNAI2/ZRANB1/ADGRA2/DEPDC1B/CUL3/DKK3/CDK14/WNK1/PTPRU/TLE2/ASPM/FGFR2/RHOA/OTUD5/VPS35/LRP6/CSNK2A2/MARK2/FBXW11/NLE1/FERMT2/CELSR1/PTPN23/GPC4/JADE1/PSEN1/TCF7/GSK3B/CYLD/WNT11/LRRFIP2/BAMBI/ABL1/DAAM1/PPM1A/GSKIP/CHD8/NFATC4/STK4/ADNP/GID8/CSNK2A1/FERMT1/TBL1X/XIAP/AXIN1/TSC2/SALL1/FZD3/SFRP1/STK3/CCN4/UBR5/CCNE1/TGFB1/PPP2R1A/HBP1/CAV1/GRB10/GLI3/BCL7B/SPIN1/TLE4/KANK1/DVL1/LZTS2/TNKS2/DKK1/CCNY/COL1A1/SMURF2/NFKB1/CPE/CCND1/CAPRIN2/WNT5B/MAPK14/MDFI/PTK7/TBX18/SEMA5A/CSNK1A1/ARL6/AMOTL2/KPNA1/WNT5A/APC2/IGFBP2/USP34/STRN/SDC1/BCL9/MARK1/HDAC1/MAD2L2/WLS/NID1/KLHL12/MESD/TNFAIP3/RNF146/PKD2/INVS/VPS4B/EGR1/TMEM131L/RECK/BICC1/LRP1/TTC21B/SOX4/SOX9/BMP2/FRMD8/PIN1/MACF1/SMARCA4/TRPM4/LATS1/NPHP4/PRKAA1/CSNK1G2/MBD2/WNT2B/CDC73/LRP4/RNF138/UBAC2/APC/MDFIC/ANKRD6/SCYL2/EDNRB/KLF4/DAB2IP/TLR2/SULF1/YAP1/RTF1/PPM1B/USP8/FGF2/LEF1/PRICKLE1/LGR5/LMBR1L/TLE3/TGFB1I1/NKD1/CSNK1D/IGFBP4/APP/CELSR2/WNT9A/SOX13/ATP6V1C2/VGLL4/RAB5A/RBMS3/LIMD1/G3BP1/DCDC2/DAAM2/TPBG/EGFR/IGFBP1/GPC3/NOTCH1/TCF7L2/LATS2/DIXDC1/FOXO1/CSNK1G3/EDNRA/HHEX/NR4A2/OTULIN/LRRK1/TNIK/APCDD1/TMEM237/FZD7/GNAQ/TIAM1/FZD1/C12orf43/SKI/GRHL3/CCAR2/AMFR/LRP5/PLPP3/PRKAA2/LZIC/WNT4/DISC1/CCNYL1/FZD5/PYGO2/PRICKLE2/RYK/KLF15/SENP2/FZD6/TMEM67/WNK2/VCP/DACT1/NDRG2/FRAT1/AMOTL1/BRD7/BTRC/ILK/LEO1/GREM1/SMAD3/GPRC5B/DAPK3/NXN/DDB1/CTNNB1/RBPJ/CMAHP/AXIN2/CSNK1G1/ZEB2/USP47/CDH2/PYGO1/MCC/MLLT3/PTEN/PPP1CA/RARG/VANGL1/TNKS/RNF213/FZD4/RUVBL1/FOXL1/FZD8/HIC1/ZBTB33/TBL1XR1/GPC5/SHISA2/FRAT2/SIAH2/EXT1/ATP6AP2/TSKU/RUVBL2/ZNRF3/KREMEN1/ZNF703/MED12/AMER1/NOTUM/WWOX/BCL9L/TRABD2A/MITF/LYPD6/RNF220/TMEM198/FZD9/LRRK2/TLE1/SRC/DACT3/GRK6/LDB1/CTR9/SMURF1/APCDD1L/ALPK2/GRK5/LGR4/TMEM170B/DDX3X/JRK",291
